Date,Sample,Field,NDF,Clouds,Species,Type,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
15-May,S2,K3,63.99904038,light rain,cattle,Field,306.681,315.114,397.951,258.015,263.14,288.357,261.18,298.546,137.479,174.492,562.055,264.538,263.378,188.836,1431.083,1757.049,1781.807,1940.694,60.7
15-May,S2,K3,63.99904038,light rain,cattle,Lab,0,0.72,4.77,4.72,0.76,0,0,0,0.46,0,0.6,0,0,1.02,0,0,0,1.08,20.54545455
15-May,S2,K4,62.91371726,light rain,cattle,Field,351.874,377.492,533.722,318.712,353.757,452.862,379.132,391.211,173.219,288.097,748.03,324.974,351.052,313.337,1628.069,2229.339,2264.736,2870.777,46.9
15-May,S2,K4,62.91371726,light rain,cattle,Lab,0,0.99,4.77,4.72,0.76,0,0.55,0,0.46,0.044,0.6,0,0,0.816,0.082,0,0,1.08,17.2
15-May,S2,K5,63.64528189,light rain,cattle,Lab,0,0.99,9.55,6.61,1.796363636,2.19,1.65,0.53,0.92,0.44,0.6,0,2.25,1.846363636,0.82,0.528181818,0.82,1.08,21.54545455
15-May,S2,K5,63.64528189,light rain,cattle,Field,334.199,359.671,524.551,290.842,326.278,433.931,350.822,356.86,156.115,274.127,700.487,300.855,301.199,347.114,1651.909,2184.391,2085.761,2439.085,37.9
15-May,S2,K6,55.33998801,light rain,cattle,Lab,0,0.99,4.77,5.66,1.450909091,0.73,1.1,0.53,0.92,0.44,0.6,0,1.13,1.02,0.372727273,0,0,1.08,20.90909091
15-May,S2,K6,55.33998801,light rain,cattle,Field,360.88,354.93,497.417,364.28,391.369,464.108,426.049,443.753,208.419,303.06,658.68,273.172,458.159,362.342,1560.316,1899.385,2205.65,2683.575,53.6
15-May,S2,P1,46.95310814,cloudy,horse,Lab,0,0.54,4.77,3.77,0.76,0,0,0,0.46,0,0.6,0,0,0.927272727,0.074545455,0,0,1.08,21.18181818
15-May,S2,P1,46.95310814,cloudy,horse,Field,72.21,70.056,89.555,62.379,62.611,68.808,68.28,74.418,33.046,43.98,127.088,64.092,64.657,43.753,314.338,369.201,428.849,458.651,42.3
15-May,S2,P2,55.55912365,cloudy,cattle,Lab,0,0.99,4.77,4.72,0.76,0,0,0,0.46,0,0.6,0,0,1.02,0.074545455,0,0,1.08,21.54545455
