N,Method,Metric,Bias,Variance,Time
50,In-Sample,RMSE,-0.3103461096778116,0,0.0006778240203857422
50,In-Sample,Correlation,0.4372758235457798,0,0.0007250308990478516
50,In-Sample,R2,0.5031660881651419,0,0.0007250308990478516
50,In-Sample,RMSE,-0.24777436149139132,0,0.0007250308990478516
50,In-Sample,Correlation,0.35407050687350655,0,0.000682830810546875
50,In-Sample,R2,0.2619241319411544,0,0.000682830810546875
50,In-Sample,RMSE,-0.11793124282666012,0,0.000682830810546875
50,In-Sample,Correlation,0.5689857573873934,0,0.0006961822509765625
50,In-Sample,R2,0.6523019656540737,0,0.0006961822509765625
50,In-Sample,RMSE,-0.3875472360459601,0,0.0006961822509765625
50,In-Sample,Correlation,0.35456612801699894,0,0.0006680488586425781
50,In-Sample,R2,0.501100097441203,0,0.0006680488586425781
50,In-Sample,RMSE,-0.18917543716536056,0,0.0006680488586425781
50,In-Sample,Correlation,0.5058976515183667,0,0.000823974609375
50,In-Sample,R2,0.7113174316428713,0,0.000823974609375
50,In-Sample,RMSE,-0.35403073898154647,0,0.000823974609375
50,In-Sample,Correlation,0.5389939371505683,0,0.0006577968597412109
50,In-Sample,R2,0.8882347847554086,0,0.0006577968597412109
50,In-Sample,RMSE,-0.32068234345680857,0,0.0006577968597412109
50,In-Sample,Correlation,0.4515170129330622,0,0.0008578300476074219
50,In-Sample,R2,0.6877714418670862,0,0.0008578300476074219
50,In-Sample,RMSE,-0.18363401953100267,0,0.0008578300476074219
50,In-Sample,Correlation,0.4126858420636193,0,0.0007917881011962891
50,In-Sample,R2,0.37151209052743994,0,0.0007917881011962891
50,In-Sample,RMSE,-0.2596438362073742,0,0.0007917881011962891
50,In-Sample,Correlation,0.4193390488543034,0,0.0006699562072753906
50,In-Sample,R2,0.4800304103678517,0,0.0006699562072753906
50,In-Sample,RMSE,-0.21771189565172344,0,0.0006699562072753906
50,In-Sample,Correlation,0.43093107925809016,0,0.0006730556488037109
50,In-Sample,R2,0.31202679379876425,0,0.0006730556488037109
50,In-Sample,RMSE,-0.3389299357301251,0,0.0006730556488037109
50,In-Sample,Correlation,0.27635984284210535,0,0.0007281303405761719
50,In-Sample,R2,0.15029899881038153,0,0.0007281303405761719
50,In-Sample,RMSE,-0.27397366949005864,0,0.0007281303405761719
50,In-Sample,Correlation,0.34108917838980835,0,0.0007030963897705078
50,In-Sample,R2,0.3257885371474096,0,0.0007030963897705078
50,In-Sample,RMSE,-0.12370151609050417,0,0.0007030963897705078
50,In-Sample,Correlation,0.5057761730822747,0,0.0006730556488037109
50,In-Sample,R2,0.6077763485449383,0,0.0006730556488037109
50,In-Sample,RMSE,-0.3167396846954935,0,0.0006730556488037109
50,In-Sample,Correlation,0.4880330590052678,0,0.0006647109985351562
50,In-Sample,R2,0.6249599171140454,0,0.0006647109985351562
50,In-Sample,RMSE,-0.22359628325228253,0,0.0006647109985351562
50,In-Sample,Correlation,0.6060139925861696,0,0.0007030963897705078
50,In-Sample,R2,0.9840242153211101,0,0.0007030963897705078
50,In-Sample,RMSE,-0.4066804447358806,0,0.0007030963897705078
50,In-Sample,Correlation,0.45386248712657246,0,0.0006620883941650391
50,In-Sample,R2,0.5860379040849197,0,0.0006620883941650391
50,In-Sample,RMSE,-0.32798199241367854,0,0.0006620883941650391
50,In-Sample,Correlation,0.34427184990110715,0,0.0006699562072753906
50,In-Sample,R2,0.30682982508494105,0,0.0006699562072753906
50,In-Sample,RMSE,-0.06368729328004608,0,0.0006699562072753906
50,In-Sample,Correlation,0.4488327639410045,0,0.0006439685821533203
50,In-Sample,R2,0.4142396018898853,0,0.0006439685821533203
50,In-Sample,RMSE,-0.3374698514959331,0,0.0006439685821533203
50,In-Sample,Correlation,0.5150136639560752,0,0.0007760524749755859
50,In-Sample,R2,0.9976074664908336,0,0.0007760524749755859
50,In-Sample,RMSE,-0.25988016558976823,0,0.0007760524749755859
50,In-Sample,Correlation,0.5715043707167722,0,0.0006771087646484375
50,In-Sample,R2,0.7884003657815644,0,0.0006771087646484375
50,In-Sample,RMSE,-0.48710324605731037,0,0.0006771087646484375
50,In-Sample,Correlation,0.41478777333547556,0,0.0006461143493652344
50,In-Sample,R2,0.4941299628686573,0,0.0006461143493652344
50,In-Sample,RMSE,-0.3240117845655137,0,0.0006461143493652344
50,In-Sample,Correlation,0.4287689317257181,0,0.0007100105285644531
50,In-Sample,R2,0.36954815017510834,0,0.0007100105285644531
50,In-Sample,RMSE,-0.24727125882604195,0,0.0007100105285644531
50,In-Sample,Correlation,0.46356066981467914,0,0.0006811618804931641
50,In-Sample,R2,0.552654217405681,0,0.0006811618804931641
50,In-Sample,RMSE,-0.13393275357942835,0,0.0006811618804931641
50,In-Sample,Correlation,0.526920753808883,0,0.0006761550903320312
50,In-Sample,R2,0.5168370586689344,0,0.0006761550903320312
50,In-Sample,RMSE,-0.3306307721358296,0,0.0006761550903320312
50,In-Sample,Correlation,0.33534857315174743,0,0.000701904296875
50,In-Sample,R2,0.20635428616384335,0,0.000701904296875
50,In-Sample,RMSE,-0.25648872511652043,0,0.000701904296875
50,In-Sample,Correlation,0.4535370654869925,0,0.0007028579711914062
50,In-Sample,R2,0.4882533252204511,0,0.0007028579711914062
50,In-Sample,RMSE,-0.3256215688126193,0,0.0007028579711914062
50,In-Sample,Correlation,0.5429442887768999,0,0.0006771087646484375
50,In-Sample,R2,0.8709886328792924,0,0.0006771087646484375
50,In-Sample,RMSE,-0.39778467939216,0,0.0006771087646484375
50,In-Sample,Correlation,0.2880216013863275,0,0.0006759166717529297
50,In-Sample,R2,0.2880455565393355,0,0.0006759166717529297
50,In-Sample,RMSE,-0.10170257227537094,0,0.0006759166717529297
50,In-Sample,Correlation,0.6962685802494651,0,0.0007238388061523438
50,In-Sample,R2,1.1430425445860943,0,0.0007238388061523438
50,In-Sample,RMSE,-0.5174543654304122,0,0.0007238388061523438
50,In-Sample,Correlation,0.45401266281642705,0,0.0007710456848144531
50,In-Sample,R2,0.5397332893948145,0,0.0007710456848144531
50,In-Sample,RMSE,-0.178555602771292,0,0.0007710456848144531
50,In-Sample,Correlation,0.4283098578511136,0,0.0006692409515380859
50,In-Sample,R2,0.5692824909571723,0,0.0006692409515380859
50,In-Sample,RMSE,-0.16177397375284663,0,0.0006692409515380859
50,In-Sample,Correlation,0.6218969370472419,0,0.0007090568542480469
50,In-Sample,R2,0.8886533504990364,0,0.0007090568542480469
50,In-Sample,RMSE,-0.47856751019539645,0,0.0007090568542480469
50,In-Sample,Correlation,0.41032625529909683,0,0.0006630420684814453
50,In-Sample,R2,0.44247386113939247,0,0.0006630420684814453
50,In-Sample,RMSE,-0.1510009059281937,0,0.0006630420684814453
50,In-Sample,Correlation,0.40189646376133464,0,0.0006642341613769531
50,In-Sample,R2,0.4502747022521989,0,0.0006642341613769531
50,In-Sample,RMSE,-0.2465489456558888,0,0.0006642341613769531
50,In-Sample,Correlation,0.38742713458528316,0,0.00067901611328125
50,In-Sample,R2,0.38390408648023433,0,0.00067901611328125
50,In-Sample,RMSE,-0.2065909965896674,0,0.00067901611328125
50,In-Sample,Correlation,0.2186657362390124,0,0.0007829666137695312
50,In-Sample,R2,0.13866395305231766,0,0.0007829666137695312
50,In-Sample,RMSE,-0.14777880736414395,0,0.0007829666137695312
50,In-Sample,Correlation,0.5440936932697304,0,0.0006818771362304688
50,In-Sample,R2,0.6524884480035228,0,0.0006818771362304688
50,In-Sample,RMSE,-0.33773136054264263,0,0.0006818771362304688
50,In-Sample,Correlation,0.3487669677147591,0,0.0008268356323242188
50,In-Sample,R2,0.30411575991657647,0,0.0008268356323242188
50,In-Sample,RMSE,-0.13996693873225763,0,0.0008268356323242188
50,In-Sample,Correlation,0.4981154231699524,0,0.0007586479187011719
50,In-Sample,R2,0.6507844697410141,0,0.0007586479187011719
50,In-Sample,RMSE,-0.3941732353136894,0,0.0007586479187011719
50,In-Sample,Correlation,0.3805209817670051,0,0.0006971359252929688
50,In-Sample,R2,0.41206159926036373,0,0.0006971359252929688
50,In-Sample,RMSE,-0.1606786861356384,0,0.0006971359252929688
50,In-Sample,Correlation,0.43381303963615725,0,0.0007109642028808594
50,In-Sample,R2,0.4057273908388996,0,0.0007109642028808594
50,In-Sample,RMSE,-0.354335004097749,0,0.0007109642028808594
50,In-Sample,Correlation,0.35031322045795593,0,0.0008442401885986328
50,In-Sample,R2,0.2956017177534559,0,0.0008442401885986328
50,In-Sample,RMSE,0.10108012038879699,0,0.0008442401885986328
50,In-Sample,Correlation,0.576161624240836,0,0.0007028579711914062
50,In-Sample,R2,0.6642539613450253,0,0.0007028579711914062
50,In-Sample,RMSE,-0.3172732631079713,0,0.0007028579711914062
50,In-Sample,Correlation,0.45116104978064664,0,0.00066375732421875
50,In-Sample,R2,0.5446033822286678,0,0.00066375732421875
50,In-Sample,RMSE,-0.24057135829640042,0,0.00066375732421875
50,In-Sample,Correlation,0.4815547936665587,0,0.0007021427154541016
50,In-Sample,R2,0.46568071842453707,0,0.0007021427154541016
50,In-Sample,RMSE,-0.273942525968213,0,0.0007021427154541016
50,In-Sample,Correlation,0.6401270806869358,0,0.0007290840148925781
50,In-Sample,R2,1.3208088701769864,0,0.0007290840148925781
50,In-Sample,RMSE,-0.6149474506047276,0,0.0007290840148925781
50,In-Sample,Correlation,0.302967044769138,0,0.0007221698760986328
50,In-Sample,R2,0.22807972742224225,0,0.0007221698760986328
50,In-Sample,RMSE,-0.07429445769817578,0,0.0007221698760986328
50,In-Sample,Correlation,0.4539889864358498,0,0.0006902217864990234
50,In-Sample,R2,0.42052223574997405,0,0.0006902217864990234
50,In-Sample,RMSE,-0.31659856793436214,0,0.0006902217864990234
50,In-Sample,Correlation,0.47048089891299205,0,0.0006692409515380859
50,In-Sample,R2,0.6224589286034825,0,0.0006692409515380859
50,In-Sample,RMSE,-0.27824625644711276,0,0.0006692409515380859
50,In-Sample,Correlation,0.49558345795546405,0,0.0006551742553710938
50,In-Sample,R2,0.6293030252159489,0,0.0006551742553710938
50,In-Sample,RMSE,-0.3569941632365772,0,0.0006551742553710938
50,In-Sample,Correlation,0.5749676261297287,0,0.0006661415100097656
50,In-Sample,R2,0.9662504121615715,0,0.0006661415100097656
50,In-Sample,RMSE,-0.34732891596179327,0,0.0006661415100097656
50,In-Sample,Correlation,0.43152779081567116,0,0.0007638931274414062
50,In-Sample,R2,0.3484152881695187,0,0.0007638931274414062
50,In-Sample,RMSE,-0.2648068269581324,0,0.0007638931274414062
50,In-Sample,Correlation,0.6696746561589662,0,0.0006878376007080078
50,In-Sample,R2,1.1653601439549328,0,0.0006878376007080078
50,In-Sample,RMSE,-0.5804957833091442,0,0.0006878376007080078
50,In-Sample,Correlation,0.48474848927189823,0,0.0007061958312988281
50,In-Sample,R2,0.47510519530662004,0,0.0007061958312988281
50,In-Sample,RMSE,-0.37129768174775357,0,0.0007061958312988281
50,In-Sample,Correlation,0.36521609451368264,0,0.0007150173187255859
50,In-Sample,R2,0.3252670717708833,0,0.0007150173187255859
50,In-Sample,RMSE,-0.12173956977663636,0,0.0007150173187255859
50,In-Sample,Correlation,0.4456162400985561,0,0.0006799697875976562
50,In-Sample,R2,0.4632403254747137,0,0.0006799697875976562
50,In-Sample,RMSE,0.027419766633013376,0,0.0006799697875976562
50,In-Sample,Correlation,0.43448821521582165,0,0.0006678104400634766
50,In-Sample,R2,0.35177536522482616,0,0.0006678104400634766
50,In-Sample,RMSE,-0.270003354761318,0,0.0006678104400634766
50,In-Sample,Correlation,0.5591779826220962,0,0.0006868839263916016
50,In-Sample,R2,0.7305236205080318,0,0.0006868839263916016
50,In-Sample,RMSE,-0.34896591434735114,0,0.0006868839263916016
50,In-Sample,Correlation,0.46030306064531296,0,0.0008018016815185547
50,In-Sample,R2,0.8957126313922664,0,0.0008018016815185547
50,In-Sample,RMSE,-0.40553344160832017,0,0.0008018016815185547
50,In-Sample,Correlation,0.3867498083565273,0,0.0006399154663085938
50,In-Sample,R2,0.36850880485538645,0,0.0006399154663085938
50,In-Sample,RMSE,-0.21087372929719717,0,0.0006399154663085938
50,In-Sample,Correlation,0.5568908576105996,0,0.0006699562072753906
50,In-Sample,R2,0.7671324463148752,0,0.0006699562072753906
50,In-Sample,RMSE,-0.35460606448044485,0,0.0006699562072753906
50,In-Sample,Correlation,0.5696387437242173,0,0.0007231235504150391
50,In-Sample,R2,0.5214234632134795,0,0.0007231235504150391
50,In-Sample,RMSE,-0.47515452894268295,0,0.0007231235504150391
50,In-Sample,Correlation,0.35525081467982944,0,0.0006740093231201172
50,In-Sample,R2,0.3389362259286296,0,0.0006740093231201172
50,In-Sample,RMSE,-0.14338951330207583,0,0.0006740093231201172
50,In-Sample,Correlation,0.40268846401785885,0,0.0006680488586425781
50,In-Sample,R2,0.5352146331381016,0,0.0006680488586425781
50,In-Sample,RMSE,-0.03258650004520036,0,0.0006680488586425781
50,In-Sample,Correlation,0.4829221142335929,0,0.0006718635559082031
50,In-Sample,R2,0.5691168064956931,0,0.0006718635559082031
50,In-Sample,RMSE,-0.21389420709840046,0,0.0006718635559082031
50,In-Sample,Correlation,0.3884933422476545,0,0.0007450580596923828
50,In-Sample,R2,0.3808702213991024,0,0.0007450580596923828
50,In-Sample,RMSE,-0.13781947501477765,0,0.0007450580596923828
50,In-Sample,Correlation,0.4626317868168182,0,0.0007100105285644531
