metric,mean,method,i,dataset
RMSPE,5.170651925339778,FS0_HT1,4,simulated
RSR,0.9497096906613957,FS0_HT1,4,simulated
r,0.40158904276110163,FS0_HT1,4,simulated
r2,0.21370414572329274,FS0_HT1,4,simulated
CCC,-0.12352594889762605,FS1_HT0,4,simulated
MAE,1.0023449866036542,FS1_HT0,4,simulated
R2,-0.549555463068125,FS1_HT0,4,simulated
RMSE,1.2166491918177966,FS1_HT0,4,simulated
RMSPE,5.432655100740305,FS1_HT0,4,simulated
RSR,1.2278947602937582,FS1_HT0,4,simulated
r,-0.15587862885420095,FS1_HT0,4,simulated
r2,0.050485554136969105,FS1_HT0,4,simulated
CCC,-0.14334897587793666,FS1_HT1,4,simulated
MAE,0.9974005595647524,FS1_HT1,4,simulated
R2,-0.4352722328452983,FS1_HT1,4,simulated
RMSE,1.1869228750785594,FS1_HT1,4,simulated
RMSPE,5.327379659427985,FS1_HT1,4,simulated
RSR,1.1911358131547458,FS1_HT1,4,simulated
r,-0.20639006514510472,FS1_HT1,4,simulated
r2,0.06534452223260516,FS1_HT1,4,simulated
CCC,0.03312449645499688,FS0_HT0,4,spectral
MAE,4.895144623420515,FS0_HT0,4,spectral
R2,-0.0019088776751832403,FS0_HT0,4,spectral
RMSE,6.256117282784078,FS0_HT0,4,spectral
RMSPE,0.12959358763278567,FS0_HT0,4,spectral
RSR,1.0009110896961082,FS0_HT0,4,spectral
r,0.21944785414466855,FS0_HT0,4,spectral
r2,0.056950556704989254,FS0_HT0,4,spectral
CCC,0.021495569894055683,FS0_HT1,4,spectral
MAE,4.90357801403479,FS0_HT1,4,spectral
R2,-0.008464015028000916,FS0_HT1,4,spectral
RMSE,6.2770572134919504,FS0_HT1,4,spectral
RMSPE,0.13026933305629482,FS0_HT1,4,spectral
RSR,1.004209313845334,FS0_HT1,4,spectral
r,0.19885668388975725,FS0_HT1,4,spectral
r2,0.0514458518181523,FS0_HT1,4,spectral
CCC,0.008963669572234012,FS1_HT0,4,spectral
