N,Method,Time
50,In-Sample,0.0008068084716796875
50,In-Sample,0.0006639957427978516
50,In-Sample,0.0006480216979980469
50,In-Sample,0.0007169246673583984
50,In-Sample,0.0006630420684814453
50,In-Sample,0.0006678104400634766
50,In-Sample,0.0006988048553466797
50,In-Sample,0.0007510185241699219
50,In-Sample,0.0006561279296875
50,In-Sample,0.0006759166717529297
50,In-Sample,0.0006799697875976562
50,In-Sample,0.0008189678192138672
50,In-Sample,0.0006892681121826172
50,In-Sample,0.0006852149963378906
50,In-Sample,0.0008242130279541016
50,In-Sample,0.0009481906890869141
50,In-Sample,0.0006747245788574219
50,In-Sample,0.0006690025329589844
50,In-Sample,0.0007388591766357422
50,In-Sample,0.0006489753723144531
50,In-Sample,0.0007352828979492188
50,In-Sample,0.0007698535919189453
50,In-Sample,0.0006589889526367188
50,In-Sample,0.0006442070007324219
50,In-Sample,0.0006358623504638672
50,In-Sample,0.0007569789886474609
50,In-Sample,0.0006639957427978516
50,In-Sample,0.0006511211395263672
50,In-Sample,0.0007228851318359375
50,In-Sample,0.0006639957427978516
50,In-Sample,0.0007202625274658203
50,In-Sample,0.0006699562072753906
50,In-Sample,0.0008120536804199219
50,In-Sample,0.0006418228149414062
50,In-Sample,0.0006780624389648438
50,In-Sample,0.0007207393646240234
50,In-Sample,0.0006678104400634766
50,In-Sample,0.0006489753723144531
50,In-Sample,0.0007109642028808594
50,In-Sample,0.0006718635559082031
50,In-Sample,0.0006489753723144531
50,In-Sample,0.0006661415100097656
50,In-Sample,0.0007188320159912109
50,In-Sample,0.0006430149078369141
50,In-Sample,0.0006499290466308594
50,In-Sample,0.0006749629974365234
50,In-Sample,0.0008690357208251953
50,In-Sample,0.0006749629974365234
50,In-Sample,0.0006682872772216797
50,In-Sample,0.0007078647613525391
50,In-Sample,0.0008189678192138672
50,In-Sample,0.0006532669067382812
50,In-Sample,0.000675201416015625
50,In-Sample,0.0007138252258300781
50,In-Sample,0.0006818771362304688
50,In-Sample,0.0006468296051025391
50,In-Sample,0.0006682872772216797
50,In-Sample,0.0007328987121582031
50,In-Sample,0.0007097721099853516
50,In-Sample,0.0006649494171142578
50,In-Sample,0.0007221698760986328
50,In-Sample,0.0007050037384033203
50,In-Sample,0.0007369518280029297
50,In-Sample,0.0006601810455322266
50,In-Sample,0.0006546974182128906
50,In-Sample,0.0007421970367431641
50,In-Sample,0.0006630420684814453
50,In-Sample,0.0006499290466308594
50,In-Sample,0.0006458759307861328
50,In-Sample,0.0007731914520263672
50,In-Sample,0.000659942626953125
50,In-Sample,0.0007381439208984375
50,In-Sample,0.0007040500640869141
50,In-Sample,0.0006649494171142578
50,In-Sample,0.0006549358367919922
50,In-Sample,0.0006680488586425781
50,In-Sample,0.0007550716400146484
50,In-Sample,0.0006988048553466797
50,In-Sample,0.0006589889526367188
50,In-Sample,0.0006670951843261719
50,In-Sample,0.000804901123046875
50,In-Sample,0.0006589889526367188
50,In-Sample,0.0006568431854248047
50,In-Sample,0.0009160041809082031
50,In-Sample,0.0006699562072753906
50,In-Sample,0.0006759166717529297
50,In-Sample,0.0007050037384033203
50,In-Sample,0.0006678104400634766
50,In-Sample,0.0006718635559082031
50,In-Sample,0.0006320476531982422
50,In-Sample,0.0007560253143310547
50,In-Sample,0.0006957054138183594
50,In-Sample,0.0006527900695800781
50,In-Sample,0.0007429122924804688
50,In-Sample,0.0006659030914306641
50,In-Sample,0.000637054443359375
50,In-Sample,0.0008351802825927734
50,In-Sample,0.0006880760192871094
50,In-Sample,0.0006628036499023438
50,In-Sample,0.0006608963012695312
50,In-Sample,0.0007119178771972656
50,In-Sample,0.0006670951843261719
50,In-Sample,0.0006430149078369141
50,In-Sample,0.0007569789886474609
50,In-Sample,0.0007119178771972656
50,In-Sample,0.0006611347198486328
50,In-Sample,0.0006539821624755859
50,In-Sample,0.0007572174072265625
50,In-Sample,0.0008649826049804688
50,In-Sample,0.0007202625274658203
50,In-Sample,0.0006859302520751953
50,In-Sample,0.0007243156433105469
50,In-Sample,0.0006721019744873047
50,In-Sample,0.0008199214935302734
50,In-Sample,0.0006718635559082031
50,In-Sample,0.0009789466857910156
50,In-Sample,0.0007412433624267578
50,In-Sample,0.0006787776947021484
50,In-Sample,0.0007266998291015625
50,In-Sample,0.0006899833679199219
50,In-Sample,0.0007069110870361328
50,In-Sample,0.0006783008575439453
50,In-Sample,0.0008058547973632812
50,In-Sample,0.0006840229034423828
50,In-Sample,0.0006661415100097656
50,In-Sample,0.0008571147918701172
50,In-Sample,0.0006821155548095703
50,In-Sample,0.0006799697875976562
50,In-Sample,0.0007517337799072266
50,In-Sample,0.0006740093231201172
50,In-Sample,0.0007200241088867188
50,In-Sample,0.0007638931274414062
50,In-Sample,0.0006899833679199219
50,In-Sample,0.0006432533264160156
50,In-Sample,0.0006439685821533203
50,In-Sample,0.0007259845733642578
50,In-Sample,0.0006611347198486328
50,In-Sample,0.00067901611328125
50,In-Sample,0.0006721019744873047
50,In-Sample,0.0008718967437744141
50,In-Sample,0.0007271766662597656
50,In-Sample,0.0006661415100097656
50,In-Sample,0.0008351802825927734
50,In-Sample,0.0006642341613769531
50,In-Sample,0.0006656646728515625
50,In-Sample,0.0007128715515136719
50,In-Sample,0.0006678104400634766
50,In-Sample,0.0006783008575439453
50,In-Sample,0.0006988048553466797
50,In-Sample,0.0007889270782470703
